Report Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,Organization Address,Organization City,Organization State,Organization ZIP,Jurisdiction,Organization Country,Phone,Status,Case Number,Patient ID,Other Idenifier,Class,Common Species Name,Species,Subspecies,Genus,TSN Code,Gender,Patient Flag,Date Found,Time Found,Date Admitted,Time Admitted,Details of rescue,Care Given,Circumstances of Rescue,Primary,Suspected/Observed,Admission Comments,Rescue State,Rescue Juristiction,Rescue Address,Other Rescue Information,Latitude,Longitude,Elevation
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001176,1201-11,right ear missing,Mammals,Raccoon,lotor,,Procyon,180575,Male,,02/24/2011,6:30 PM,02/24/2011,8:27 PM,found under tree in front yard,,"Orphan, true / Parents not available",Yes,Suspected,"thin, had fleas",FL,Brevard County,,,28.39865,-80.748728,12.565403
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001258,,single dot,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Male,,02/17/2011,9:25 AM,02/27/2011,8:06 PM,left at door,,Dead on Arrival,Yes,Suspected,,WI,Milwaukee County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001259,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,02/17/2011,9:25 AM,02/27/2011,8:03 PM,left at door,,Dead on Arrival,Yes,Suspected,,WI,Milwaukee County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001271,10-20 WESO,,Birds,Northwestern Crow,caurinus,,Corvus,179736,Undetermined,,02/28/2011,6:35 PM,02/28/2011,1:39 AM,rescued from cat,,Animal interaction / Domestic animal / Cat,Yes,Observed,may have hit window first,OR,Lane County,,,38.9518868,-77.3312517,115.426857
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001275,,,Birds,Fish Crow,ossifragus,,Corvus,179737,Indeterminate,,03/01/2011,,03/01/2011,11:54 AM,found beside road,,Collision,Yes,Observed,,FL,Martin County,,,27.107669561345,-80.319090988098,5.7600002
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001276,,,Birds,Key West Quail-Dove,chrysia,,Geotrygon,177179,Indeterminate,,03/01/2011,,03/01/2011,10:03 AM,found in yard,,"Orphan, true / Parents not available",Yes,Observed,,FL,Martin County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001278,,,Birds,Fish Crow,ossifragus,,Corvus,179737,Indeterminate,,02/28/2011,,03/01/2011,12:40 PM,found beside road,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,FL,Martin County,,,27.043043781203,-80.216026778018,4.151
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001306,avian,,Birds,Northern Cardinal,cardinalis,,Cardinalis,179124,Male,,03/01/2011,,03/01/2011,8:18 PM,found in road,,"Orphan, true",Yes,Suspected,,MI,Ingham County,,,42.694925145824,-84.424007830688,265.313446
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001328,,,Birds,Barred Owl,varia,,Strix,177921,Undetermined,,03/01/2011,1:00 PM,03/02/2011,5:00 PM,injured on side of road,,Animal interaction,Yes,Observed,,MT,Yellowstone County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001331,,,Mammals,Red Fox,vulpes,,Vulpes,180604,Male,,03/02/2011,10:30 AM,03/02/2011,10:15 PM,wefoiero owe ojwfkw,,Collision / Moving object / Car/truck/motorcycle,Yes,Suspected,,UT,Juab County,,,38.951069128515,-77.334534723834,116.1010208
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001347,,,Reptiles,Gopher Tortoise,polyphemus,,Gopherus,173858,Female,,03/10/2011,3:00 PM,03/03/2011,12:37 AM,gcndf cvbxc,,Projectile,Yes,Observed,,KA,Crawford County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001365,111122222,brown,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Male,,03/04/2011,1:30 PM,03/04/2011,1:51 PM,dog,,Undetermined,Yes,Observed,dog in yard,IN,Monroe County,,,39.2344252,-86.4571107,262.5779419
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001425,,,Birds,Black-billed Magpie,hudsonia,,Pica,726117,Male,,03/01/2011,6:00 AM,03/06/2011,3:34 PM,on roadside,,Collision,No,Suspected,,MN,Douglas County,,,38.017819733162,-78.885565675671,703.225769
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001425,,,Birds,Black-billed Magpie,hudsonia,,Pica,726117,Male,,03/01/2011,6:00 AM,03/06/2011,3:34 PM,on roadside,,Collision,Yes,Suspected,,MN,Douglas County,,,38.017819733162,-78.885565675671,703.225769
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001449,,,Mammals,gray wolf,lupus,,Canis,180596,Male,,03/01/2011,3:00 PM,03/06/2011,,Saw car hit coyote,,Collision / Moving object,Yes,Suspected,,MS,Hancock County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001451,,,Birds,Black-bellied Whistling Duck,autumnalis,,Dendrocygna,175044,Female,,03/01/2011,1:00 AM,03/06/2011,9:57 PM,Handed in to Vet clinic,,"Orphan, true",Yes,Observed,,OH,Gallia County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001529,,,Birds,Rock Pigeon,livia,,Columba,177071,Undetermined,,03/09/2011,2:00 PM,03/10/2011,,found in road,,Collision / Moving object,Yes,Observed,,OH,Cuyahoga County,,,41.486998,-81.934074,189.5571899
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001545,11-00001,,Birds,Bald Eagle,leucocephalus,,Haliaeetus,175420,Undetermined,,03/11/2011,1:00 AM,03/11/2011,,sick,none,Gas flare,Yes,Observed,,AK,Aleutians East Borough,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001643,100526,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Male,,03/09/2011,2:00 PM,03/15/2011,,found in yard,offered water,Undetermined,Yes,Suspected,,WI,Milwaukee County,,,44.2732316,-88.4701159,238.7055511
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001724,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,03/17/2011,11:15 AM,03/17/2011,,Tree cut down,,Nest/Habitat Disturbance/Destruction,Yes,Suspected,,VA,Chesterfield County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001727,122225,,Mammals,black-tailed deer,hemionus,hemionus,Odocoileus,625196,Indeterminate,,03/16/2011,6:20 AM,03/17/2011,,fell out of the sky,,Collision / Moving object / Plane,Yes,Suspected,,WA,Whatcom County,,,38.952237227749,-77.330479223804,108.6541977
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0001974,red band on r foot,,Birds,American Robin,migratorius,,Turdus,179759,Indeterminate,,03/27/2011,9:00 AM,03/27/2011,,found next to the road,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,VA,Augusta County,,,38.055760006142,-78.901080819435,413.4557495
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0002064,04-00345,,Mammals,Virginia Opossum,virginiana,,Didelphis,179921,Indeterminate,,03/09/2011,5:20 AM,03/28/2011,,dfs,,Collision,Yes,Suspected,,VA,Augusta County,,,38.282494564376,-79.096717491996,449.3858948
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0002109,brown,,Mammals,Cascade golden-mantled ground squirrel,saturatus,,Spermophilus,180158,Male,,03/29/2011,2:05 AM,03/29/2011,,Found in front yard,,Nest/Habitat Disturbance/Destruction,Yes,Observed,Orphaned,IL,Champaign County,,,40.0909394,-88.2226449,222.2185364
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0002152,,,Mammals,common raccoon,lotor,,Procyon,180575,Male,,03/31/2011,3:00 PM,03/31/2011,,on doorstep,,Undetermined,Yes,Observed,,NV,White Pine County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0002153,,,Birds,American Black Duck,rubripes,,Anas,175068,Undetermined,,03/30/2011,11:00 AM,03/31/2011,,found dead,,Dead on Arrival,Yes,Suspected,,MO,Clinton County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0002154,,,Mammals,Bobcat,rufus,,Lynx,180582,Female,,03/01/2011,9:00 PM,03/31/2011,,none,,Dead on Arrival,Yes,Suspected,,MT,Custer County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0002879,06-21114,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Undetermined,,04/26/2011,1:00 PM,04/26/2011,,Found on side of road,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,IL,Lake County,,,38.9518868,-77.3312517,115.426857
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0003281,,,Mammals,Raccoon,lotor,,Procyon,180575,Female,,05/07/2011,,05/07/2011,,ccccccc,,Animal interaction / Domestic animal / Cat,Yes,Observed,ccccc,IN,Carroll County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0003286,,,Mammals,common raccoon,lotor,,Procyon,180575,Female,,05/07/2011,,05/07/2011,,hbc,,Collision,Yes,Suspected,hypo,IL,DeKalb County,,,41.9366709,-88.740184,263.3179016
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0003311,,,Mammals,Common Opossum,marsupialis,,Didelphis,552536,Male,,05/07/2011,,05/08/2011,,"Found oppsum on side of road, car hit. No bleeding but opossum was gasping and non-responsive.",,Collision,Yes,Observed,,TX,Montgomery County,,,30.2093794,-95.7507815,81.6343536
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0006989,11-0023,,Mammals,southern flying squirrel,volans,,Glaucomys,180170,Male,,07/01/2011,,07/11/2011,,On the side of the road,,Collision,Yes,Observed,,WI,Winnebago County,,,44.136623,-88.475785,235.3171386719
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0007396,,,Birds,Gyrfalcon,rusticolus,,Falco,175599,Undetermined,,07/21/2011,9:00 AM,07/21/2011,,Unable to fly. Picked up by dog. Placed in box for transit.,Syringed water by mouth.,Animal interaction / Domestic animal / Dog,No,Suspected,,VA,Waynesboro (City),,,38.068235,-78.894163,407.7224121094
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0007396,,,Birds,Gyrfalcon,rusticolus,,Falco,175599,Undetermined,,07/21/2011,9:00 AM,07/21/2011,,Unable to fly. Picked up by dog. Placed in box for transit.,Syringed water by mouth.,Environment / Weather / Temperature,Yes,Observed,,VA,Waynesboro (City),,,38.068235,-78.894163,407.7224121094
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008058,111_11,,Birds,Bald Eagle,leucocephalus,,Haliaeetus,175420,Undetermined,,08/04/2011,,08/04/2011,,Found on grond,,"Orphan, true / Parents not available",Yes,Suspected,,VT,Franklin County,,,44.957687,-73.110431,40.1929016113
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008096,11ad11,,Birds,American Robin,migratorius,,Turdus,179759,Undetermined,,08/05/2011,,08/05/2011,,cat attack,put in box,Animal interaction,Yes,Suspected,,VT,Caledonia County,,,44.488503905232,-71.918017655572,446.9028625488
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008229,,,Mammals,common raccoon,lotor,,Procyon,180575,Male,,08/03/2011,,08/09/2011,,hbc,,Dead on Arrival,Yes,Suspected,,KA,Comanche County,,,41.639935,-83.609378,189.7431945801
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008478,,,Birds,Herring Gull,argentatus,,Larus,176824,Undetermined,,08/15/2011,,08/15/2011,,kkkki,,Nest/Habitat Disturbance/Destruction,Yes,Observed,,FL,Charlotte County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008537,,,Birds,Mourning Dove,macroura,,Zenaida,177125,Undetermined,,08/15/2011,5:00 PM,08/16/2011,,found,,Human,Yes,Observed,,KA,Edwards County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008538,,,Mammals,Raccoon,lotor,,Procyon,180575,Male,,08/08/2011,,08/16/2011,,found in yard,recieved cow's milk,Nest/Habitat Disturbance/Destruction,No,Suspected,,FL,Escambia County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008538,,,Mammals,Raccoon,lotor,,Procyon,180575,Male,,08/08/2011,,08/16/2011,,found in yard,recieved cow's milk,"Orphan, true / Parents not available",Yes,Suspected,,FL,Escambia County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008628,,band Red 78,Birds,Yellow-crowned Night-Heron,violacea,,Nyctanassa,174842,Indeterminate,,08/18/2011,,08/19/2011,,found in yard,,Gas flare,Yes,Observed,,FL,Martin County,,,27.174661363016,-80.346455186508,5.8530015945
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0008935,,,Birds,Rock Pigeon,livia,,Columba,177071,Undetermined,,08/29/2011,,08/29/2011,,Found pigeon next to powerlines,,Electrocution/Electric Shock,Yes,Observed,,KA,Atchison County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0009489,,,Mammals,common raccoon,lotor,,Procyon,180575,Female,,09/15/2011,,09/15/2011,,Orphaned raccoon found on roadside near dead mother.,Bottle fed pedialyte to rehydrate,Collision,Yes,Suspected,,KA,Barber County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0009493,,,Birds,Bald Eagle,leucocephalus,,Haliaeetus,175420,Female,,09/15/2011,,09/15/2011,,found dead,,Dead on Arrival,Yes,Observed,,NY,Cayuga County,,,43.0175371,-76.616928,126.9161224365
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0009719,,,Birds,Mourning Dove,macroura,,Zenaida,177125,Undetermined,,09/15/2011,,09/28/2011,,fleding bird found in yard,,Inappropriate human possession / Abduction with intent of rescue,Yes,Suspected,,FL,Okaloosa County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,11-0009734,,,Birds,Great Horned Owl,virginianus,,Bubo,177884,Undetermined,,09/29/2011,6:00 AM,09/29/2011,,GHO delivered to CCB,,Animal interaction / Domestic animal / Dog,Yes,Suspected,,IA,Carroll County,,,,,
