patients.address_found,patients.admitted_at,patients.admitted_by,patients.city_found,patients.clinical_signs,patients.common_name,patients.county_found,patients.diagnosis,patients.disposition,patients.found_at,patients.keywords,patients.lat_found,patients.lng_found,patients.name,patients.notes_about_rescue,patients.reason_for_disposition,patients.reasons_for_admission,patients.release_type,species.genus,species.species
Stumpton Road,2016-02-14 21:00:00,HS,Waterford,,Northern Cardinal,Loudoun County,H- Hit by vehicle,Died +24hr,2016-02-14,,39.206553,-77.576807,--,,,In the middle of the road,,Cardinalis,cardinalis
"Whitacre Road, 2 mi off Route 50",2016-02-16 22:45:00,JR/JB,Frederick County,,Northern Raccoon,,I- Infectious disease,Euthanized +24hr,2016-02-16,suspect rabies distemper,,,--,,Poor Prognosis,"Sitting by the road, having trouble moving but was trying",,Procyon,lotor
97 Boulder Rd,2016-02-17 18:00:00,JR/JB,Front Royal,,Northern Raccoon,Warren County,A- Abduction,Released,2016-02-17,,38.895579,-78.121951,--,,,"Eating from suet feeder, trapped for relocation nearby",,Procyon,lotor
40006 Moss Valley Lane,2016-02-17 18:00:00,JB,Leesburg,,Big Brown Bat,Loudoun County,"M - human, non-intentional",Released,2016-02-17,,-77.619425,39.051287,--,,,was in the home,Hard,Eptesicus,fuscus
Rt 81N before mm 308,2016-02-18 01:20:00,JR/JA,Winchester,,Red-shouldered Hawk,Winchester city,H - Hit by vehicle,Released,2016-02-18,,39.169668,-78.16856,--,,,"On the side of the road, not flying",Hard,Buteo,lineatus
Armistead Street,2016-02-20 18:30:00,JB,Winchester,,American Robin,Frederick County,T- Unknown trauma,Euthanized +24hr,2016-02-19,,39.177393,-78.19167,--,,poor prognosis,"Broken wing, hopping around the middle of the street",,Turdus,migratorius
2302 Morgans Mill Road,2016-02-21 01:10:00,HS,Bluemont,,Carolina Wren,Clarke County,D- Domestic animal attack,Euthanized +24hr,2016-02-21,cat attack,39.074472,-77.924428,--,,Poor Prognosis,Cat brought in,,Thryothorus,ludovicianus
--,2016-02-22 17:30:00,JR/HS,Berryville,,Eastern Cottontail,Clarke County,H- Hit by vehicle,Euthanized in 24hr,2016-02-22,,39.135711,-77.991926,--,,Poor Prognosis,Hit by car,,Sylvilagus,floridanus
476 Tilthammer Mill Road,2016-02-23 18:14:00,JB,Boyce,,Dark-eyed Junco,Clarke County,W- Window strike,Released,2016-02-23,,39.053872,-78.003638,--,,,Possibly flew into window,Hard,Junco,hyemalis
Snickersville Turnpike,2016-02-24 17:30:00,HS,Bluemont,,Red-shouldered Hawk,Loudoun County,H- Hit by vehicle,Died in 24hr,2016-02-24,,39.111266,-77.835161,--,,,Hit by car,,Buteo,lineatus
FedEx,2016-02-25 22:55:00,JR/JB,Fairfax,,Muskrat,Fairfax city,"M - human, non-intentional",Released,2016-02-24,trapped in FedEx truck,38.853231,-77.305097,--,,,Found in FedEx truck driven up from Richmond area,Hard,Ondatra,zibethicus
10273 John Marshall Highway,2016-02-26 23:30:00,JR/JB,Delaplane,,Red-tailed Hawk,Fauquier County,T- Unknown trauma,Euthanized in 24hr,2016-02-26,,38.903083,-77.934561,--,,Poor Prognosis,"Found in front yard unable to fly, home is between Rt 55W and RT 66",,Buteo,jamaicensis
Lake Brittle,2016-02-26 00:00:00,JR/JB,Shen County,,Great Blue Heron,,F - Monofilament line or fishing hook,Released,2016-02-26,,,,--,,,Tangled in fishing line,Hard,Ardea,herodias
1642 Lloyd Road,2016-03-01 18:30:00,JR/JB,Charlestown,,Great Horned Owl,,T - Unknown trauma,Euthanized +24hr,2016-03-01,,,,--,,Poor Prognosis,Found in chicken coop unable to fly higer than a few feet of the ground,,Bubo,virginianus
998 Milldale Hollow Road,2016-03-02 22:00:00,JR/HS,Front Royal,,Northern Raccoon,Warren County,T - Unknown trauma,Euthanized +24hr,2016-03-02,,38.991,-78.087256,--,,jaw fx,"Not using legs, has seen since Sunday",,Procyon,lotor
23003 Kirk Branch Road,2016-03-03 19:30:00,HS,Middleburg,,American Goldfinch,Loudoun County,D- Domestic animal attack,Died in 24hr,2016-03-03,cat attack,38.982881,-77.769333,--,,,Rescued from cats,,Spinus,tristis
"Luray Avenue near Blue Ridge Technical School, closer to Skyline Drive",2016-03-03 21:00:00,JB,Front Royal,,Southern Flying Squirrel,Warren County,T- Unknown trauma,Died in 24hr,2016-03-03,,-78.194445,38.918167,--,,,"found on the side of the road, ran across road to a yard",,Glaucomys,volans
594 Piney Mountain Road,2016-03-04 18:20:00,JB,Luray,,House Mouse,Page County,A- Abduction,Released,2016-03-03,B- Baby,-78.44176,38.582907,--,,,momma mouse ran off,,Mus,musculus
130 Millwood Avenue,2016-03-04 18:49:00,JA/JR,Winchester,,Virginia Opossum,,N - Natural event,Died in 24hr,2016-03-04,failure to thrive,-78.165999,39.175677,--,,,"not moving, cold",,Didelphis,virginiana
23354 Easton Ln,2016-03-04 20:00:00,JR/JB,MIddleburg,,Eastern Gray Squirrel,Loudoun County,P- Predator attack,Died in 24hr,2016-03-04,,-77.777274,38.973041,--,,,chased by crows,,Sciurus,carolinensis
204 Hawk Trail,2016-03-05 17:00:00,JA,Winchester,,Turkey Vulture,Frederick County,H - Hit by vehicle,Released,2016-03-04,,-78.338584,39.204706,--,,,found on the side of the road,Hard,Cathartes,aura
intersection of Graystone and Millwood Avenue,2016-03-05 20:36:00,HS/JB,Winchester,,Northern Raccoon,Frederick,T- Unknown trauma,Died +24hr,2016-03-05,,-78.163865,39.170852,--,,,"injured, walking in circles on roadway",,Procyon,lotor
7357 Auburn Mill Road,2016-03-06 21:00:00,HS,Warrenton,,Red-shouldered Hawk,Fauquier County,T - Unknown trauma,Euthanized in 24hr,2016-03-06,,-77.724321,38.734993,--,,Poor Prognosis,"was in finder's backyard, unable to fly",,Buteo,lineatus
36823 Shoemakers School Road,2016-03-07 00:15:00,JA,Purcellville,,Cooper's Hawk,Loudoun County,T - Unknown trauma,Released,2016-03-06,,-77.731614,39.086488,,,,"running around yard, not flying",Hard,Accipiter,cooperii
102 Sunset Drive,2016-03-08 19:30:00,HS/JA,Winchester,,American Crow,Frederick County,T - Unknown trauma,Euthanized in 24hr,2016-03-08,,39.163973,-78.109278,,,Poor Prognosis,running around neighborhood with wing injury,,Corvus,brachyrhynchos
119 Godwin Court,2016-03-08 00:10:00,HS/JB,Winchester,,Big Brown Bat,,N - Natural event,Released,2016-03-08,,-78.164142,39.185908,,,released with 2 babies born in rehab,out in yard during day,Hard,Eptesicus,fuscus
15 E Picadilly Street,2016-03-09 17:00:00,HS/JB,Winchester,,Mallard,Frederick,T - Unknown trauma,Euthanized in 24hr,2016-03-09,,-78.164142,39.185908,,,Poor Prognosis,"injured wing, approached and did not fly away, noticed blood",,Anas,platyrhynchos
136 Camden Drive,2016-03-10 18:00:00,HS/JB,Winchester,,Eastern Gray Squirrel,Frederick County,H - Hit by vehicle,Died in 24hr,2016-03-10,,-78.109977,39.180985,,,,"possibly hit by street sweeper, wound on skull",,Sciurus,carolinensis
20901 Gulick Mill Road,2016-03-10 00:45:00,HS/JB,Leesburg,,Great Horned Owl,Loudoun County,B- Baby,Released,2016-03-10,"B- Baby, fell from nest, renesting not possible due to contruction",-77.556658,39.042254,,,,"fell from nest, no parents seen, unable to return, construction in area",,Bubo,virginianus
320 Millbrook Terrace NE,2016-03-10 00:45:00,JB,Leesburg,,Eastern Gray Squirrel,Loudoun County,B- Baby,Released,2016-03-10,"B- Baby, failed renesting",-77.55086,39.120569,,,,"nest fell from tree, mom came back for sibling but left this one, left baby out overnight",Hard,Sciurus,carolinensis
Greenwood Road,2016-03-11 17:00:00,JB,Winchester,,Eastern Cottontail,Frederick County,H - Hit by vehicle,Dead on arrival,2016-03-11,,-78.122433,39.168533,,,,"found on the side of the road, head up but unable to move well",,Sylvilagus,floridanus
1001 E Cork Street,2016-03-11 21:04:00,JA,Winchester,,Groundhog,Frederick,T - Unknown trauma,Euthanized in 24hr,2016-03-11,,-78.15309,39.178362,,,Poor Prognosis,"lethargic, missing hair, open wounds",,Marmota,monax
Stone Road,2016-03-12 23:00:00,JB,Centreville,,Eastern Gray Squirrel,Fairfax,B- Baby,Released,2016-03-12,"B- Baby, suspected abduction",-77.453919,38.844604,,,,nest was discovered/disturbed and mom did not come back,Hard,Sciurus,carolinensis
Stone Road,2016-03-12 23:00:00,JB,Centreville,,Eastern Gray Squirrel,,B- Baby,Transferred,2016-03-12,"B- Baby, suspected abduction, transferred to Jennifer Burghoffer",-77.453919,38.844604,,,,nest was discovered/disturbed and mom did not come back,,Sciurus,carolinensis
Stone Rd,2016-03-12 23:00:00,JB,Centreville,,Eastern Gray Squirrel,,B- Baby,Transferred,2016-03-12,"B- Baby, suspected abduction, transferred to Jennifer Burghoffer",-77.453919,38.844604,,,,nest was discovered/disturbed and mom did not come back,,Sciurus,carolinensis
Stone Rd,2016-03-12 23:00:00,JB,Centreville,,Eastern Gray Squirrel,,B- Baby,Transferred,2016-03-12,"B- Baby, suspected abduction, transferred to Jennifer Burghoffer",-77.453919,38.844604,,,,nest was discovered/disturbed and mom did not come back,,Sciurus,carolinensis
567 Frankford Lane,2016-03-13 23:15:00,JA,Berryville,,Mourning Dove,Clarke County,T - Unknown trauma,Euthanized +24hr,2016-03-13,,-77.915032,39.149867,,,,fx wing,,Zenaida,macroura
Howellsville near Jim's Country Store,2016-03-14 16:58:00,JR,Howellsville,,Barred Owl,,H - Hit by vehicle,Euthanized in 24hr,2016-03-14,,,,,,Poor Prognosis,hit by car,,Strix,varia
--,2016-03-16 18:00:00,JB/HS,Vienna,,Red Fox,Fairfax County,B- Baby,Released,2016-03-14,"B- Baby, abandoned",-77.26526,38.901223,,,,"mom and 5 babies in shed, shed removed, mom took 4 babies and left this one",,Vulpes,vulpes
--,2016-03-16 18:00:00,JB/HS,Fairfax,,Red Fox,,B- Baby,Released,2016-03-16,"B- Baby, abandoned",-77.306373,38.846224,,,,found alone in mud behind Fairfax shelter,,Vulpes,vulpes
West Ox Road,2016-03-16 18:00:00,JB/HS,Fairfax,,Red Fox,Fairfax County,B- Baby,Released,2016-03-14,"B- Baby, abandoned",-77.368173,38.865099,,,,found alone in mud behind shelter,,Vulpes,vulpes
240 Westwood Avenue,2016-03-18 04:33:00,JR/JA,Berryville,,Striped Skunk,Clarke County,"M - human, non-intentional",Euthanized +24hr,2016-03-18,,-78.006024,39.153551,,,"Worsening in condition, nose crusted over, quieter, seizure at 10am, high probability of distemper, possibly rabies",Caught in batting cage netting,,Mephitis,mephitis
350 Fontana Road,2016-03-18 04:59:00,JB/JR,Front Royal,,Field Mouse,Warren County,T - Unknown trauma,Died in 24hr,2016-03-18,,-78.259134,38.890409,,,--,deer mouse that I thought was hurt,,Mus,musculus
--,2016-03-19 17:30:00,JB,Warrenton,,Red Fox,Fauquier County,B- Baby,Released,2016-03-18,"B- Baby, abandoned",-77.795271,38.713452,,,,mom dropped while crossing the road,,Vulpes,vulpes
122 Apple Orchard Drive,2016-03-19 05:00:00,JA,Linden,,Carolina Wren,Warren County,W - Window strike,Died in 24hr,2016-03-19,,-78.205029,38.907718,,,--,"Flew into door, couldn't fly",,Thryothorus,ludovicianus
731 Emmet Court SW,2016-03-21 05:32:00,Tim Greene,Leesburg,,American Crow,Loudoun County,T - Unknown trauma,Died in 24hr,2016-03-21,,-77.563602,39.115662,,,--,"found o/s, tried to fly up into tree and hit branch and fell to ground, able to pick up",,Corvus,brachyrhynchos
--,2016-03-21 22:00:00,JR/JA,Stephens City,,Eastern Gray Squirrel,Frederick County,B- Baby,Released,2016-03-21,"B- Baby, Transferred to Jessica Andersen",-78.218057,39.08344,,,,Mother abandoned them for a couple of days.,,Sciurus,carolinensis
--,2016-03-21 22:00:00,JR/JA,Stephens City,,Eastern Gray Squirrel,Frederick County,B- Baby,Released,2016-03-21,"B- Baby, Transferred to Jessica Andersen",-78.218057,39.08344,,,,Mom abandoned them for a couple of days.,,Sciurus,carolinensis
--,2016-03-21 22:00:00,JR/JA,Stephens City,,Eastern Gray Squirrel,Frederick County,B- Baby,Released,2016-03-21,"B- Baby, Transferred to Jessica Andersen",-78.218057,39.08344,,,,Mother abandoned them for a couple days.,,Sciurus,carolinensis
250 Orchard Dale Drive,2016-03-22 05:53:00,JR,Clear Brook,,Eastern Bluebird,Frederick County,P - Predator attack,Died in 24hr,2016-03-22,,-78.108024,39.292315,,,--,House Sparrow pair had attacked him while in the box,,Sialia,sialis
1713 Handley Avenue,2016-03-23 21:00:00,JB/JR,Winchester,,Eastern Cottontail,Frederick,D – Domestic animal attack,Dead on arrival,2016-03-23,"B- Baby, dog attack",-78.183359,39.173405,,,Dog attack,Dog ate some in backyard,,Sylvilagus,floridanus
1713 Handley Avenue,2016-03-23 21:00:00,JB,Winchester,,Eastern Cottontail,Frederick,D - Domestic animal attack,Released,2016-03-23,"B- Baby, dog attack",-78.183359,39.173405,,,,Dog ate some in backyard,,Sylvilagus,floridanus
1713 Handley Avenue,2016-03-23 21:09:00,JB,Winchester,,Eastern Cottontail,Frederick,D – Domestic animal attack,Released,2016-03-23,"B- Baby, dog attack",-78.183359,39.173405,,,--,Dog ate some in back yard,,Sylvilagus,floridanus
Whiting Road,2016-03-24 20:00:00,HS/JR,Marshall,,House Sparrow,Fauquier,X - Invasive,Dead on arrival,2016-03-24,,12.453389,41.902916,,,--,--,,Passer,domesticus
21833 Regents Park Circle,2016-03-25 23:00:00,JB/JR,Sterling,,Eastern Gray Squirrel,Loudoun County,D – Domestic animal attack,Released,2016-03-25,"B- Baby, cat attack",-77.423593,39.011427,,,,Cat brought it in as a gift.,Hard,Sciurus,carolinensis
90 Ralphs Court,2016-03-25 23:15:00,JB/JR,Martinsburg,,Eastern Cottontail,Berkeley County,B- Baby,Died in 24hr,2016-03-25,"B- Baby, orphan",-77.942602,39.474392,,,--,It looked weak and had no apparent mother,,Sylvilagus,floridanus
43518 Spinks Ferry Road,2016-03-26 16:02:00,JB,Leesburg,,Northern Cardinal,Loudoun County,W - Window strike,Dead on arrival,2016-03-26,,-77.493582,39.213312,,,--,Flew into window,,Cardinalis,cardinalis
171 Robinson Road,2016-03-26 18:15:00,JB,Front Royal,,Eastern Gray Squirrel,Warren County,"M - Human, non-intentional",Transferred,2016-03-26,"B- Baby, tree cut down, abduction, B- Baby, Transferred to Jessica Andersen",-78.246496,38.947739,,,,Tree was cut down.,,Sciurus,carolinensis
171 Robinson Road,2016-03-26 18:15:00,JB,Front Royal,,Eastern Gray Squirrel,Warren County,"M - Human, non-intentional",Transferred,2016-03-26,"B- Baby, tree cut down, abduction, B- Baby, Transferred to Jessica Andersen",-78.246496,38.947739,,,,Tree was cut down.,,Sciurus,carolinensis
1854 Front Royal Pike,2016-03-26 23:40:00,JB,Winchester,,Eastern Cottontail,Frederick County,D – Domestic animal attack,Died +24hr,2016-03-26,"B- Baby, cat attack",-78.156842,39.111476,,,--,"my dog found him and carried him about 40 feet from nest, bunny had a bite mark",,Sylvilagus,floridanus
--,2016-03-27 17:05:00,JR,Hamilton,,Black Vulture,Loudoun County,S - Non-infectious disease,Euthanized +24hr,2016-03-27,,-77.662492,39.134272,,,Peritonitis and possible aspergillosis,"believe hit by vehicle, found on side of road",,Coragyps,atratus
4131 Melody Lane,2016-03-27 18:21:00,JA,Marshall,,Eastern Cottontail,Fauquier County,D – Domestic animal attack,Euthanized in 24hr,2016-03-27,"B- Baby, dog attack",38.868771,-77.8522,,,,attacked by dog in yard,,Sylvilagus,floridanus
4131 Melody Lane,2016-03-27 18:21:00,JA,Marshall,,Eastern Cottontail,Fauquier County,D - Domestic animal attack,Released,2016-03-27,"B- Baby, dog attack",38.868771,-77.8522,,,,attacked by dog in yard,Hard,Sylvilagus,floridanus
5612 Eppes Island Place,2016-03-27 19:30:00,JA,Manassas,,Eastern Gray Squirrel,Prince William County,B- Baby,Euthanized in 24hr,2016-03-27,"B- Baby, fell from nest, abduction",-77.375582,38.615032,,,Poor Prognosis,fell out a tree in back yard,,Sciurus,carolinensis
Coulson Lane,2016-03-27 22:40:00,JA,Bluemont,,Eastern Cottontail,Loudoun,B- Baby,Released,2016-03-27,"B- Baby, abduction",-77.876063,39.086412,,,,"found outside screaming, could not find nest",,Sylvilagus,floridanus
5801K Post Corners Trail,2016-03-27 23:00:00,HS,Centreville,,Eastern Gray Squirrel,Fairfax County,B- Baby,Released,2016-03-24,"B- Baby, abduction",-77.43506,38.84113,,,,"at doorstep of neighbor, she had for 3 days",,Sciurus,carolinensis
311 Vista Lane,2016-03-27 23:30:00,HS,White Post,,Eastern Cottontail,Clarke County,D - Domestic animal attack,Died in 24hr,2016-03-27,"B- Baby, dog attack",-78.110246,39.053364,,,,dog was biting it - dogs found nest and killed rest and this was the only baby left,,Sylvilagus,floridanus
